Name,Link,Rating,Price,Discount,Pack,Ingredients,Discription
"CoCo Yogurt, with Coffee and Cocoa for Rich Moisturization - 200 ml",https://mamaearth.in/product/coco-yogurt-with-coffee-and-cocoa-for-rich-moisturization-200ml,5,499,0%,200ml,"['coffee', 'cocoa', 'glycerin']","CoCo Yogurt, with Coffee and Cocoa for Rich Moisturization - 200 ml"
Retinol Face Wash with Retinol & Bakuchi for Fine Lines and Wrinkles – 100 ml,https://mamaearth.in/product/retinol-face-wash-with-retinol-bakuchi-for-fine-lines-and-wrinkles-100-ml,5,299,0%,100ml,"['retinol', 'bakuchi oil', 'oat amino extract']","Retinol Face Wash with Retinol & Bakuchi for Fine Lines and Wrinkles – 100 mlKeep them guessing your age as they admire your glowing and youthful skin!Mamaearth Retinol Face Wash is the elixir of youth you need. Formulated with potent Retinol - the most trusted ingredient to fight signs of aging - and the natural goodness of Bakuchi, this face wash will become your skin’s BFF in no time. Mamaearth Retinol Face Wash accelerates skin cell turnover, washes away impurities and fights signs of aging. Trust this classic mix of science and nature for reducing age spots, and for fading fine lines and wrinkles - giving you a new youthful look.
Start your morning with this power-packed face wash that’s suitable for all skin types.And because of our no toxins and harmful chemicals promise, you won’t find any Silicones, Parabens, Mineral Oil &amp; Dyes in any of our products."
Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples – 150ml,https://mamaearth.in/product/tea-tree-foaming-face-wash-with-tea-tree-salicylic-acid-for-acne-pimples-150ml,4.9,399,0%,150ml,"['tea tree', 'salicylic acid', 'neem', 'aloe vera']","Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples – 150mlAcne-prone skin needs tender loving care. Say hello to your new BFF - Mamaearth Tea Tree Foaming Face Wash crafted with the antibacterial goodness of Tea Tree & acne-fighting benefits of Salicylic Acid. Together they clear pore congestion, fight bacteria, and control excess oil secretion. Acne and pimples won’t stand a chance.Gentle and effective, this extremely hardworking face wash comes with an in-built silicone brush for easy application. It’s gentle and at the same time enables deep penetration of the product for effective cleansing. Just pump, massage and wash!Dermatologically tested, the Tea Tree Foaming Face Wash has no harmful chemicals and is free of Toxins, Parabens, and Mineral Oils."
Tea Tree Face Serum,https://mamaearth.in/product/tea-tree-face-serum,4.9,599,0%,null,"['tea tree oil', 'salicylic acid', 'licorice extract']","Tea Tree Face SerumPrevent acne breakouts and purify your skin with nature’s best! It’s time to welcome clear, acne-free skin with Mamaearth Tea Tree Face Serum.Formulated with the goodness of Tea Tree Oil and the power of Salicylic Acid, the lightweight serum controls oil, gently unclogs pores and kills bacteria. It restores the skin’s protective barrier to its optimum health leaving you with clear, acne-free skin.The powerful antioxidants in the serum help reduce acne marks and reverse UV triggered pigmentation leading to an even skin tone.Mamaearth Tea Tree Face Serum absorbs easily and is free of harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Retinol Face Serum,https://mamaearth.in/product/mamaearth-retinol-face-serum,4.9,799,0%,null,"['retinol', 'bakuchi', 'linseed oil', 'cotton seed oil']","Retinol Face SerumKeep them guessing your age as you reverse the hands of time! Powered with super-effective Retinol and the natural goodness of Bakuchi, Retinol Face Serum restores the skin’s bounce, smoothes fine lines and wrinkles, and reduces dark spots to give you skin that’s ageless.With time, the skin’s cell turnover starts to slow down, causing the skin to lose its elasticity and becoming prone to discoloration and other signs of aging like wrinkles and fine lines. With a high concentration of antioxidants, Retinol boosts collagen and increases cell turnover, reducing lines and wrinkles. Meanwhile, Bakuchi, often called a natural form of Retinol, helps alter mature skin cells’ behavior, so they act more youthful.Regular use renews and revives aging skin, giving you an even skin tone and improving texture. The serum performs its repairing functions at night, and hence it’s advisable to use this serum at night after cleansing and before going to sleep. It is suitable for all skin types & free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
"Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 25ml",https://mamaearth.in/product/onion-conditioner-for-hair-growth-and-hair-fall-control-with-onion-and-coconut-25ml,5,99,0%,25ml,"['onion seed oil', 'coconut', 'almond oil', 'coconut triglycerides']","Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 25ml"
Complete Skin Glow Kit ,https://mamaearth.in/product/complete-skin-glow-kit,5,949,27%,null,"['cucumber extract', 'turmeric', 'vitamin c', 'mulberry']","Complete Skin Glow Kit Don’t let dull skin and dark circles define you or bring your spirits down. The Complete Skin Glow Kit is here to revive that young radiant glow you were born with in 3 easy steps – face wash, face cream, and under eye cream.The pure healing, nourishing & hydrating nature of Vitamin C, Turmeric, Cucumber & Mulberry in the Mamaearth Complete Skin Glow Kit will fight dark circles, reduce pigmentation & fade blemishes. Overall it will brighten, tighten & strengthen your skin inside-out in a safe & smooth manner. Once again, you’ll be confident, happy, and comfortable in your own skin!The pure healing, nourishing & hydrating nature of Vitamin C, Turmeric, Cucumber & Mulberry in the Mamaearth Complete Skin Glow Kit will fight dark circles, reduce pigmentation & fade blemishes. Overall it will brighten, tighten & strengthen your skin inside-out in a safe & smooth manner. Once again, you’ll be confident, happy, and comfortable in your own skin!And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes in our Complete Skin Glow Kit – just as you would want your products.Bye Bye Blemishes – 30mlUbtan Face Wash – 1oomlUnder Eye Cream – 50ml"
Coco Intense Skin Awakening Kit,https://mamaearth.in/product/coco-intense-skin-awakening-kit,5,799,27%,null,"['cocoa', 'coffee', 'shea butter', 'glycerin']","Coco Intense Skin Awakening KitSay hello to your next skincare obsession- Coco Intense Skin Awakening Kit- to treat your skin just the way chocolate treats your soul.This unanimous blend of Coco with Coffee promises to stop time with its antioxidants properties, keeping fine lines and wrinkles at bay. This natural Mamaearth face kit will gently exfoliate and remove dead skin, excess oil, and bacteria revealing a brighter, happier & well-nourished skin. It is a boon for both oily skin and dry skin due to the soothing, mattifying, and hydrating benefits of Coco, Coffee, Shea Butter & Glycerin. Now, your face too can enjoy a refreshing charge of cocoa-coffee whenever it looks dull or fatigued.This unanimous blend of Coco with Coffee promises to stop time with its antioxidants properties, keeping fine lines and wrinkles at bay. This natural Mamaearth face kit will gently exfoliate and remove dead skin, excess oil, and bacteria revealing a brighter, happier & well-nourished skin. It is a boon for both oily skin and dry skin due to the soothing, mattifying, and hydrating benefits of Coco, Coffee, Shea Butter & Glycerin. Now, your face too can enjoy a refreshing charge of cocoa-coffee whenever it looks dull or fatigued.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes in our Coco Intense Skin Awakening Kit – just as you would want your products.Coco Face Wash – 100mlCoco Face Mask – 100gCoco Face Scrub – 100g"
Vitamin C Radiance Combo,https://mamaearth.in/product/vitamin-c-radiance-combo,5,824,3%,null,"['vitamin c', 'turmeric', 'aloe vera', 'nymphaea alba flower extract']","Vitamin C Radiance ComboBelieve in the power of Vitamin C, because it’s time to treat the skin you’re in! Get your glow on with Vitamin C radiance combo containing Vitamin C enriched face wash and serum.With every wash, the face wash ensures that you get brighter skin by removing dirt and other pollutants from the skin’s surface. After the wash, treat your face with the serum to achieve glowing skin with reduces signs of aging. The potent Vitamin C and traditional Turmeric present in the two is perfect for skin illumination like never before.With every wash, the face wash ensures that you get brighter skin by removing dirt and other pollutants from the skin’s surface. After the wash, treat your face with the serum to achieve glowing skin with reduces signs of aging. The potent Vitamin C and traditional Turmeric present in the two is perfect for skin illumination like never before.Mamaearth Vitamin C Combo for Radiant Skinis free of harmful toxins such as Parabens, Mineral Oil, Silicones, etc.Vitamin C Face Wash – 100mlVitamin C Face Serum - 30g"
Vitamin C Clear Skin Combo - 200 ml,https://mamaearth.in/product/vitamin-c-clear-skin-combo-200-ml,5,724,3%,200ml,"['vitamin c', 'turmeric', 'kaolin clay', 'aloe vera']","Vitamin C Clear Skin Combo - 200 mlCraving that glow? Get that glow going with natural ingredients in our Vitamin C Clear Skin Combo. Vitamin C is the standard gold ingredient for reversing UV and free radical damage, while Kaolin Clay acts as a magnet that clears the pores of toxins and impedes bacteria growth to keep the skin clear, smooth, and firm.The Vitamin C Clear Skin Combo is ideal for skin illumination, is suitable for all skin types, and is free of Parabens, Silicones, Sulfates, Phthalates, and Artificial Colors.The Vitamin C Clear Skin Combo is ideal for skin illumination, is suitable for all skin types, and is free of Parabens, Silicones, Sulfates, Phthalates, and Artificial Colors.Vitamin C Face Wash – 100 mlVitamin C Face Mask– 100 g"
